Name,Iata,Icao,Lat,Lon,Country,Alt,City
A Coruna Airport,LCG,LECO,43.302059,-8.37725,Spain,326,La Coruna
Aachen Merzbruck Airport,AAH,EDKA,50.823051,6.186111,Germany,623,Aachen
Aalborg Airport,AAL,EKYT,57.092781,9.849164,Denmark,10,Aalborg
Aarhus Airport,AAR,EKAH,56.300011,10.619,Denmark,82,Aarhus
Aarhus Sea Airport,QEA,EKAC,56.151993,10.247725,Denmark,1,
Aasiaat Airport,JEG,BGAA,68.72184,-52.784698,Greenland,74,Aasiaat
Abadan Airport,ABD,OIAA,30.371111,48.228329,Iran,19,Abadan
Abakan International Airport,ABA,UNAA,53.740002,91.385002,Russia,831,Abakan
Abbotsford International Airport,YXX,CYXX,49.025269,-122.360001,Canada,195,Abbotsford
Aberdeen International Airport,ABZ,EGPD,57.201939,-2.19777,United Kingdom,215,Aberdeen
Aberdeen Regional Airport,ABR,KABR,45.439999,-98.419998,United States,1302,Aberdeen
Abha Regional Airport,AHB,OEAB,18.24036,42.65662,Saudi Arabia,6858,Abha
Abidjan Port Bouet Airport,ABJ,DIAP,5.261386,-3.92629,Cote D'ivoire (Ivory Coast),21,Abidjan
Abilene Regional Airport,ABI,KABI,32.411301,-99.681801,United States,1790,Abilene
Abingdon Virginia Highlands Airport,VJI,KVJI,36.686111,-82.033333,United States,2088,
Abu Dhabi Al Bateen Executive Airport,AZI,OMAD,24.428329,54.45808,United Arab Emirates,16,Abu Dhabi
Abu Dhabi Al Dhafra Air Base,DHF,OMAM,24.248199,54.547699,United Arab Emirates,77,Abu Dhabi
Abu Dhabi International Airport,AUH,OMAA,24.43297,54.651131,United Arab Emirates,88,Abu Dhabi
Abu Musa Island Airport,AEU,OIBA,25.8757,55.033001,Iran,23,Abumusa I.
Abu Simbel Airport,ABS,HEBL,22.37595,31.611719,Egypt,616,Abu Simbel
Abuja Nnamdi Azikiwe International Airport,ABV,DNAA,9.006792,7.263172,Nigeria,1123,Abuja
Acapulco International Airport,ACA,MMAA,16.757059,-99.753899,Mexico,16,Acapulco
Accra Kotoka International Airport,ACC,DGAA,5.605186,-0.16678,Ghana,205,Accra
Ada Municipal Airport,ADT,KADH,34.804298,-96.671303,United States,1016,Ada
Adak Airport,ADK,PADK,51.87796,-176.645996,United States,18,Adak Island
Adampur Airport,AIP,VIAX,31.433056,75.760559,India,776,
Adana Sakirpasa Airport,ADA,LTAF,36.982159,35.28038,Turkey,65,Adana
Addis Ababa Bole Airport,ADD,HAAB,8.977889,38.799309,Ethiopia,7656,Addis Ababa
Adelaide Airport,ADL,YPAD,-34.945,138.530502,Australia,20,Adelaide
Aden International Airport,ADE,OYAA,12.82954,45.02879,Yemen,7,Aden
Adiyaman Airport,ADF,LTCP,37.731361,38.468929,Turkey,2216,Adiyaman
Adrar Airport,AZR,DAUA,27.83758,-0.18641,Algeria,919,Adrar
Agadir Al Massira Airport,AGA,GMAD,30.324989,-9.41306,Morocco,250,Agadir
Agartala Airport,IXA,VEAT,23.886971,91.240448,India,46,Agartala
Agatti Airport,AGX,VOAT,10.82365,72.176041,India,14,Agatti Island
Agen La Garenne Airport,AGF,LFBA,44.174709,0.590619,France,204,Agen
Agra Airport,AGR,VIAG,27.15583,77.960892,India,551,Agra
Agri Airport,AJI,LTCO,39.65456,43.027149,Turkey,5462,Agri
Agua Boa Airport,GGB,SWHP,-14.019444,-52.152222,Brazil,1506,
Aguadilla Rafael Hernandez Airport,BQN,TJBQ,18.49486,-67.129402,Puerto Rico,237,Aguadilla
Aguascalientes International Airport,AGU,MMAS,21.705549,-102.317001,Mexico,6112,Aguascalientes
Ahe Airport,AHE,NTHE,-14.42759,-146.255981,French Polynesia,11,Ahe
Ahmedabad International Airport,AMD,VAAH,23.07724,72.634651,India,189,Ahmedabad
Ahwaz International Airport,AWZ,OIAW,31.337429,48.761951,Iran,66,Ahwaz
Aiken Municipal Airport,AIK,KAIK,33.649399,-81.684998,United States,528,Aiken
Airai Roman Tmetuchl International Airport,ROR,PTRO,7.367303,134.544205,Palau,176,Babelthuap
Aitutaki Airport,AIT,NCAI,-18.8309,-159.764008,Cook Islands,14,Aitutaki
Aix-en-Provence Airport,QXB,LFMA,43.50528,5.367222,France,368,Aix-les-milles
Aizawl Lengpui Airport,AJL,VELP,23.838442,92.620361,India,1001,Aizwal
Ajaccio Napoleon Bonaparte Airport,AJA,LFKJ,41.923882,8.8025,France,16,Ajaccio
Akiak Airport,AKI,PFAK,60.902901,-161.231003,United States,30,Akiak
Akita Airport,AXT,RJSK,39.615551,140.218597,Japan,313,Akita
Akron Canton Airport,CAK,KCAK,40.91608,-81.442101,United States,1225,Akron
Akron Fulton International Airport,AKC,KAKR,41.037498,-81.466904,United States,1067,Akron
Aksu Airport,AKU,ZWAK,41.262501,80.291664,China,3816,Aksu
Aktau Airport,SCO,UATE,43.86005,51.091969,Kazakhstan,73,Aktau
Aktion National Airport,PVK,LGPZ,38.925461,20.76531,Greece,11,Preveza
Aktobe Airport,AKX,UATT,50.245831,57.206661,Kazakhstan,738,Aktyubinsk
Akure Airport,AKR,DNAK,7.246739,5.301008,Nigeria,1100,Akure
Akureyri Airport,AEY,BIAR,65.658607,-18.072201,Iceland,6,Akureyri
Al Ain International Airport,AAN,OMAL,24.26166,55.609161,United Arab Emirates,869,Al Ain
Al Hoceima Cherif Al Idrissi Airport,AHU,GMTA,35.177101,-3.83952,Morocco,95,Al Hociema
Al Najaf International Airport,NJF,ORNI,31.991667,44.404167,Iraq,108,Najaf
Al Udeid Air Base,XJD,OTBH,25.114941,51.316105,Qatar,130,Doha
Al Ula  Airport,ULH,OEAO,26.480862,38.116653,Saudi Arabia,2017,
Al Wajh Airport,EJH,OEWJ,26.198334,36.476112,Saudi Arabia,66,Wejh
Al-Baha Domestic Airport,ABT,OEBA,20.296129,41.63427,Saudi Arabia,5486,El-baha
Al-Qamishli Airport,KAC,OSKL,37.031025,41.205559,Syria,1480,Kamishly
Al-Qassim Regional Airport,ELQ,OEGS,26.30282,43.773911,Saudi Arabia,2126,Gassim
Alakanuk Airport,AUK,PAUK,62.683056,-164.722198,United States,22,Alakanuk
Alamogordo White Sands Regional Airport,ALM,KALM,32.845833,-105.985275,United States,4200,Alamogordo
Alamosa San Luis Valley Regional Airport,ALS,KALS,37.43491,-105.865997,United States,7539,Alamosa
Albacete Airport,ABC,LEAB,38.948502,-1.86352,Spain,2302,Albacete
Albany Airport,ALH,YABA,-34.939999,117.800003,Australia,233,Albany
Albany International Airport,ALB,KALB,42.749111,-73.801903,United States,285,Albany
Albany Southwest Georgia Regional Airport,ABY,KABY,31.535509,-84.194397,United States,196,Albany
